state,year,month,temp_mean,rh_mean,rain_mm,rain_days,monsoon
Johor,2014,12,26.43800539083558,87.52291105121294,30716.2,0,NE
Johor,2015,1,26.460969044414536,81.26043068640647,23487.239999999998,0,NE
Johor,2015,2,26.55198204936425,80.97083021690352,14026.970000000001,0,NE
Johor,2015,3,27.65026954177897,81.96293800539084,30377.85,0,NE
Johor,2015,4,27.840306834030685,85.0,33710.815,0,Inter
Johor,2015,5,27.479811574697173,87.89973082099596,42021.03,0,SW
Johor,2015,6,27.7449617790132,85.58651841556636,46800.395000000004,0,SW
Johor,2015,7,27.614401076716018,85.27860026917901,36780.14,0,SW
Johor,2015,8,27.36767676767677,85.91986531986532,49668.3,0,SW
Johor,2015,9,27.31063238359972,86.58026407227241,47306.79,0,SW
Johor,2015,10,27.617350369872227,85.74781439139207,29406.04,0,Inter
Johor,2015,11,27.0452016689847,88.38734353268428,36642.9,0,NE
Johor,2015,12,27.608607935440485,85.67720242098184,30716.2,0,NE
Johor,2016,1,28.22252191503709,84.04989885367499,23487.239999999998,0,NE
Johor,2016,2,27.7514367816092,83.43175287356321,14026.970000000001,0,NE
Johor,2016,3,28.62021857923497,81.69535519125684,30377.85,0,NE
Johor,2016,4,28.976388888888888,84.14930555555556,33710.815,0,Inter
Johor,2016,5,28.79744279946164,85.10161507402422,42021.03,0,SW
Johor,2016,6,27.604166666666668,87.49097222222223,46800.395000000004,0,SW
Johor,2016,7,27.756720430107528,85.98924731182795,36780.14,0,SW
Johor,2016,8,28.24478816408877,83.37794216543377,49668.3,0,SW
Johor,2016,9,27.4221140472879,86.53824756606397,47306.79,0,SW
Johor,2016,10,27.530913978494624,86.2385752688172,29406.04,0,Inter
Johor,2016,11,26.99581589958159,88.88214783821478,36642.9,0,NE
Johor,2016,12,27.071236559139784,87.16397849462365,30716.2,0,NE
Johor,2017,1,27.546296296296298,87.71296296296296,23487.239999999998,0,NE
Johor,2017,2,27.455419389978214,,14026.970000000001,0,NE
Johor,2017,3,27.36454248366013,,30377.85,0,NE
Johor,2017,4,27.27366557734205,,33710.815,0,Inter
Johor,2017,5,27.182788671023967,,42021.03,0,SW
Johor,2017,6,27.091911764705884,87.50735294117646,46800.395000000004,0,SW
Johor,2017,7,26.91587301587301,88.14761904761905,36780.14,0,SW
Johor,2017,8,26.882903307405297,,49668.3,0,SW
Johor,2017,9,26.849933598937582,87.7127659574468,47306.79,0,SW
Johor,2017,10,26.939705882352943,87.11764705882354,29406.04,0,Inter
Johor,2017,11,26.939705882352943,,36642.9,0,NE
Johor,2017,12,26.939705882352943,,30716.2,0,NE
Johor,2018,1,26.90277777777778,85.52916666666667,23487.239999999998,0,NE
Johor,2018,2,26.409387222946545,80.22816166883963,14026.970000000001,0,NE
Johor,2018,3,27.21180555555556,84.22222222222223,30377.85,0,NE
Johor,2018,4,27.542361111111116,85.14930555555556,33710.815,0,Inter
Johor,2018,5,27.45094086021505,87.02284946236558,42021.03,0,SW
Johor,2018,6,27.053472222222226,87.78680555555556,46800.395000000004,0,SW
Johor,2018,7,27.3133514986376,86.4182561307902,36780.14,0,SW
Johor,2018,8,27.30452961672474,85.39581881533101,49668.3,0,SW
Johor,2018,9,26.57233146067416,87.63553370786516,47306.79,0,SW
Johor,2018,10,26.609543010752688,89.8736559139785,29406.04,0,Inter
Johor,2018,11,26.6556338028169,89.64929577464788,36642.9,0,NE
Johor,2018,12,26.858103564223267,88.27505043712172,30716.2,0,NE
Johor,2019,1,27.459005376344088,81.96303763440861,8908.48,0,NE
Johor,2019,2,27.74496644295302,80.28486204325131,8908.48,0,NE
Johor,2019,3,28.65258403841756,80.00077749828493,8908.48,897,NE
Johor,2019,4,28.3619083721434,85.13105314427969,37131.35,2539,Inter
Johor,2019,5,28.46453798311861,88.8380386494891,31885.68,2358,SW
Johor,2019,6,28.055300487276668,90.85595837897043,16243.21,2437,SW
Johor,2019,7,28.325042718815265,86.45171824568065,8487.35,889,SW
Johor,2019,8,28.882769838503545,84.24891367491577,8657.869999999999,963,SW
Johor,2019,9,28.80533734939759,85.11891338392964,11842.04,1102,SW
Johor,2019,10,27.714039566049777,89.02947704081632,29406.04,2450,Inter
Johor,2019,11,27.48808548886448,89.53927501497904,36642.9,2661,NE
Johor,2019,12,26.296201045779533,92.5208088784548,54763.24,2646,NE
Johor,2020,1,27.409696658097687,91.10911053984576,21552.13,2355,NE
Johor,2020,2,27.265876777251183,89.93262659017212,1413.78,214,NE
Johor,2020,3,28.62653130287648,87.20252115059222,8459.59,802,NE
Johor,2020,4,28.931453858393,89.26739584369096,18661.33,2654,Inter
Johor,2020,5,28.78363864249904,92.3961156626506,30086.59,3506,SW
Johor,2020,6,27.89897711511789,92.43849618849619,22062.83,1531,SW
Johor,2020,7,26.40288040075141,88.07672197871008,43509.71,3868,SW
Johor,2020,8,26.9807548145276,85.54596096678299,20207.5,3001,SW
Johor,2020,9,26.506307643379625,85.89367115445775,27880.06,3563,SW
Johor,2020,10,27.7562938895294,80.53940886699507,27615.98,3583,Inter
Johor,2020,11,26.45411876259334,85.52631267038046,52563.35,3137,NE
Johor,2020,12,26.78982699678857,81.93174142753548,24024.09,2775,NE
Johor,2021,1,25.83963669950739,83.73374384236453,125252.3,4689,NE
Johor,2021,2,27.083576061681555,77.59344021539592,12687.53,1099,NE
Johor,2021,3,27.347007200720075,82.70465796579659,42002.64,4430,NE
Johor,2021,4,27.394548814290115,84.29121650754541,77586.92,5736,Inter
Johor,2021,5,28.06510565391205,83.94259470778603,15672.11,1994,SW
Johor,2021,6,27.37882456250392,84.10742645675218,56465.74,5266,SW
Johor,2021,7,27.71138336187046,83.0377634764126,32677.1,3857,SW
Johor,2021,8,26.85969350794093,86.54025076623014,73485.26,6953,SW
Johor,2021,9,27.246186172356225,85.79346036497611,88101.78,6556,SW
Johor,2021,10,27.60762273132996,86.70834870574234,65741.44,5619,Inter
Johor,2021,11,26.898177238682308,89.35974680188241,35455.44,5829,NE
Johor,2021,12,27.242870677404078,87.81271316911418,30716.2,3675,NE
Johor,2022,1,27.037461143183403,85.05269301528898,18734.94,2079,NE
Johor,2022,2,26.78645304568528,87.65664208105322,47584.59,2689,NE
Johor,2022,3,27.760927892677472,87.00087111905295,82704.61,4506,NE
Johor,2022,4,27.68966810320703,87.81127895266869,45392.11,4716,Inter
Johor,2022,5,28.71346382674917,86.26753901845588,96401.78,4263,SW
Johor,2022,6,26.97998586683417,89.37228064668028,37135.05,4733,SW
Johor,2022,7,27.90054698826941,86.71283672528486,40883.18,3040,SW
Johor,2022,8,27.27047042130539,88.46245975882577,54965.54,4980,SW
Johor,2022,9,27.36498148934879,88.2083009708738,48473.48,4335,SW
Johor,2022,10,27.59329874241492,88.94365107281041,22238.18,6680,Inter
Johor,2022,11,27.749293728307368,88.55724316035833,24855.61,6496,NE
Johor,2022,12,27.197180955790227,89.71480221943797,12902.68,4346,NE
Johor,2023,1,26.789187426633625,87.5896987873256,25422.35,3047,NE
Johor,2023,2,26.874606634425447,87.34563040664804,23394.84,5986,NE
Johor,2023,3,26.8830298567412,87.28107511045656,35947.86,5225,NE
Johor,2023,4,27.89089283052616,85.88773929236498,20242.0,4536,Inter
Johor,2023,5,28.69829594017094,83.77027286805148,52156.38,6065,SW
Johor,2023,6,28.19761016782805,86.2167189798921,82919.58,7731,SW
Johor,2023,7,28.200371544093542,85.86265525405209,61976.34,8595,SW
Johor,2023,8,27.259209994716723,87.05150035722791,96377.55,10516,SW
Johor,2023,9,27.605470440578205,82.63109450624098,47306.79,5420,SW
Johor,2023,10,27.26916177703269,86.1587547029396,47489.27,6355,Inter
Johor,2023,11,27.059426490669093,87.78453083840495,60096.92,7720,NE
Johor,2023,12,26.69700130378096,88.82601043024772,80213.51,8693,NE
Johor,2024,1,26.57398282941396,87.45546312589985,93362.7,8248,NE
Johor,2024,2,27.90728558676097,80.39459589370323,15366.41,2693,NE
Johor,2024,3,28.48855795148248,79.06103773584906,24807.84,2686,NE
Johor,2024,4,28.41907761214921,83.99165092028834,30290.28,4458,Inter
Johor,2024,5,27.88387608709452,86.86659683869739,83799.15,6036,SW
Johor,2024,6,27.437736092309677,85.92630052214271,67563.67,5102,SW
Johor,2024,7,28.09996413713958,82.07349906863446,25483.57,2822,SW
Johor,2024,8,27.172432901589,85.38410909575887,44371.06,4836,SW
Kedah,2000,6,27.5,86.5,19109.17,0,SW
Kedah,2000,7,28.0,82.5,18653.254999999997,0,SW
Kedah,2000,8,26.642857142857142,87.21428571428571,35428.979999999996,0,SW
Kedah,2000,9,26.75,75.5,52974.82,0,SW
Kedah,2000,10,30.6,66.0,37548.61,0,Inter
Kedah,2000,11,28.0,80.0,24881.75,0,NE
Kedah,2000,12,29.33333333333333,70.66666666666667,29008.23,0,NE
Kedah,2001,1,27.88888888888889,75.77777777777777,9747.94,0,NE
Kedah,2001,2,26.55555555555556,81.11111111111111,4220.375,0,NE
Kedah,2001,3,28.75,76.1,6526.91,0,NE
Kedah,2001,4,26.466666666666665,90.26666666666667,7420.445000000001,0,Inter
Kedah,2001,5,29.88888888888889,79.77777777777777,37570.08,0,SW
Kedah,2001,6,27.33333333333333,88.11111111111111,19109.17,0,SW
Kedah,2001,7,28.666666666666668,80.66666666666667,18653.254999999997,0,SW
Kedah,2001,8,29.75,76.5,35428.979999999996,0,SW
Kedah,2001,9,25.0,94.25,52974.82,0,SW
Kedah,2002,9,24.0,100.0,52974.82,0,SW
Kedah,2003,1,28.614084507042254,64.94366197183099,9747.94,0,NE
Kedah,2003,2,28.749246987951807,67.1671686746988,4220.375,0,NE
Kedah,2003,3,28.77079107505071,74.59364435429345,6526.91,0,NE
Kedah,2003,4,29.023861171366597,79.30007230657989,7420.445000000001,0,Inter
Kedah,2003,5,28.70563674321503,81.4572025052192,37570.08,0,SW
Kedah,2003,6,27.990640748740105,83.04967602591793,19109.17,0,SW
Kedah,2003,7,27.5,82.43076923076923,18653.254999999997,0,SW
Kedah,2004,2,28.97222222222222,67.21527777777777,4220.375,0,NE
Kedah,2004,3,28.79366149696561,75.21847606203642,6526.91,0,NE
Kedah,2004,4,28.75837988826816,80.19902234636872,7420.445000000001,0,Inter
Kedah,2004,5,28.60772357723577,80.7310298102981,37570.08,0,SW
Kedah,2004,6,27.9796633941094,82.945301542777,19109.17,0,SW
Kedah,2004,7,27.338948787061994,84.00943396226415,18653.254999999997,0,SW
Kedah,2004,8,27.858389261744968,82.8228187919463,35428.979999999996,0,SW
Kedah,2004,9,27.23855755894591,84.1997226074896,52974.82,0,SW
Kedah,2004,10,27.36339165545088,81.8829071332436,37548.61,0,Inter
Kedah,2004,11,28.198288159771757,78.16057347670251,24881.75,0,NE
Kedah,2004,12,27.858718125430737,76.08206896551724,29008.23,0,NE
Kedah,2005,1,28.213369345037137,66.98784604996624,9747.94,0,NE
Kedah,2005,2,29.228592702903946,67.05141579731743,4220.375,0,NE
Kedah,2005,3,29.268890401633765,68.58533241946539,6526.91,0,NE
Kedah,2005,4,29.21252638986629,76.84887005649718,7420.445000000001,0,Inter
Kedah,2005,5,28.61161022805805,81.67755385684504,37570.08,0,SW
Kedah,2005,6,28.312188168210977,82.31303724928367,19109.17,0,SW
Kedah,2005,7,28.165873555404488,81.34061433447098,18653.254999999997,0,SW
Kedah,2005,8,27.944214876033055,80.99026425591099,35428.979999999996,0,SW
Kedah,2005,9,28.08880866425993,80.58595464520849,52974.82,0,SW
Kedah,2005,10,27.1135248773651,83.68360773085182,37548.61,0,Inter
Kedah,2005,11,26.902667627974044,83.78168498168498,24881.75,0,NE
Kedah,2005,12,26.546159813809155,80.74120406567631,29008.23,0,NE
Kedah,2006,1,27.74534161490683,71.06073153899241,9747.94,0,NE
Kedah,2006,2,28.58620689655172,68.78689818468824,4220.375,0,NE
Kedah,2006,3,28.799586776859503,72.52173913043478,6526.91,0,NE
Kedah,2006,4,28.48741912293314,79.27213352685051,7420.445000000001,0,Inter
Kedah,2006,5,27.74825662482566,82.28418803418803,37570.08,0,SW
Kedah,2006,6,27.55642857142857,82.70618556701031,19109.17,0,SW
Kedah,2006,7,27.834027777777777,82.12894183601962,18653.254999999997,0,SW
Kedah,2006,8,28.100834492350486,78.38385964912281,35428.979999999996,0,SW
Kedah,2006,9,27.33500717360115,81.54054054054055,52974.82,0,SW
Kedah,2006,10,27.39693593314763,82.02889358703312,37548.61,0,Inter
Kedah,2006,11,27.66118656182988,80.2181425485961,24881.75,0,NE
Kedah,2006,12,27.980926430517712,73.51127819548873,29008.23,0,NE
Kedah,2007,1,27.78886625933469,70.54656696125085,9747.94,0,NE
Kedah,2007,2,28.05095057034221,70.78995433789954,4220.375,0,NE
Kedah,2007,3,28.201903467029236,76.89659863945579,6526.91,0,NE
Kedah,2007,4,28.39203354297694,80.0377358490566,7420.445000000001,0,Inter
Kedah,2007,5,28.534680134680134,82.79326599326599,37570.08,0,SW
Kedah,2007,6,28.099374565670605,83.20152883947186,19109.17,0,SW
Kedah,2007,7,27.559299191374663,83.88611859838275,18653.254999999997,0,SW
Kedah,2007,8,27.44788164088769,82.66980497646267,35428.979999999996,0,SW
Kedah,2007,9,27.64206128133705,83.32938718662953,52974.82,0,SW
Kedah,2007,10,27.011533242876528,83.80257801899593,37548.61,0,Inter
Kedah,2007,11,26.98744769874477,80.99511854951186,24881.75,0,NE
Kedah,2007,12,27.260217983651227,75.68392370572207,29008.23,0,NE
Kedah,2008,1,28.23851953392735,70.61549006168609,9747.94,0,NE
Kedah,2008,2,28.159737417943106,67.91320204230489,4220.375,0,NE
Kedah,2008,3,27.954172366621066,77.92134062927497,6526.91,0,NE
Kedah,2008,4,28.16026105873821,82.02683103698332,7420.445000000001,0,Inter
Kedah,2008,5,27.8981288981289,83.52945252945253,37570.08,0,SW
Kedah,2008,6,27.80737134909597,84.28720445062586,19109.17,0,SW
Kedah,2008,7,27.23783783783784,85.40810810810811,18653.254999999997,0,SW
Kedah,2008,8,27.541006202618885,85.19710544452101,35428.979999999996,0,SW
Kedah,2008,9,27.07686832740213,85.82348754448398,52974.82,0,SW
Kedah,2008,10,27.255261371350983,87.41547861507128,37548.61,0,Inter
Kedah,2008,11,27.32561403508772,85.72842105263157,24881.75,0,NE
Kedah,2008,12,27.19429347826087,79.85054347826087,29008.23,0,NE
Kedah,2009,1,27.400829302004148,72.31237042156185,9747.94,0,NE
Kedah,2009,2,28.21607278241092,76.22062168309326,4220.375,0,NE
Kedah,2009,3,27.70398351648352,83.72802197802197,6526.91,0,NE
Kedah,2009,4,28.36697247706422,84.74100211714891,7420.445000000001,0,Inter
Kedah,2009,5,28.14872139973082,85.83916554508748,37570.08,0,SW
Kedah,2009,6,28.88896648044693,82.56354748603351,19109.17,0,SW
Kedah,2009,7,27.922606924643585,85.46843177189409,18653.254999999997,0,SW
